date,sex,neet_percent
2025,Male,13.9663691744517
2025,Female,12.669967440324
2024,Male,14.53028913
2024,Female,12.63158973
2023,Male,12.32648897
2023,Female,11.85877154
2022,Male,12.86268654
2022,Female,12.0981749
2021,Male,12.04469529
2021,Female,9.333239832
2020,Male,13.70124941
2020,Female,10.04099705
2019,Male,11.27976201
2019,Female,11.18870803
2018,Male,10.70995946
2018,Female,11.90004161
2017,Male,10.88725926
2017,Female,11.21209316
2016,Male,11.26237852
2016,Female,11.29520562
2015,Male,10.53814257
2015,Female,12.64313962
2014,Male,10.77465734
2014,Female,15.40712727
2013,Male,13.36109597
2013,Female,14.84200825
2012,Male,13.58121465
2012,Female,16.20089089
2011,Male,15.35276325
2011,Female,16.63301921
2010,Male,13.83569608
2010,Female,17.29845423
2009,Male,12.89715108
2009,Female,16.63973139
2008,Male,11.91257443
2008,Female,16.47007211
2007,Male,10.75731002
2007,Female,15.30362852
2006,Male,11.94177984
2006,Female,15.77413915
2005,Male,12.56656654
2005,Female,16.36342117
2004,Male,10.74560637
2004,Female,15.47438669
2003,Male,9.722266195
2003,Female,14.54834667
2002,Male,9.796113048
2002,Female,14.74497181
2001,Male,10.06007089
2001,Female,14.98273128
2000,Male,9.263333126
2000,Female,15.31404686
