date,sex,neet_percent,ilo_unemployed_less_6months_percent,ilo_unemployed_more_6months_percent,inactive_look_after_fam_home_percent,inactive_longterm_temp_sick_percent,inactive_other_percent
2025,Total,4.034680737,0.73467713,0.457247598,0.199352863,0.70625955,1.937143596
2025,Total,13.33715558,3.7476131,2.209326237,1.162801065,2.976733981,3.240681199
2025,Total,16.01757423,4.615761619,2.714170844,1.440409397,3.630949349,3.61628302
2024,Total,4.558777421,1.482614532,0.61811435,0.25593228,0.704918477,1.497197782
2024,Total,13.60140767,3.880931108,1.629184688,1.493780883,3.389647999,3.207862991
2024,Total,16.19670175,4.569263667,1.919368494,1.849051537,4.16018295,3.698835106
2023,Total,3.886528015,1.358278974,0.070273552,0.524772897,0.312971286,1.620231305
2023,Total,12.09596582,3.165175613,1.270065229,1.666705631,3.274921839,2.719097511
2023,Total,14.47104414,3.687930171,1.617177817,1.997079007,4.131845871,3.037011278
2022,Total,4.663959984,1.460481296,0.327203323,0.245840949,0.210459373,2.419975043
2022,Total,12.48882016,3.666973566,1.240296901,1.414028019,3.160429587,3.007092091
2022,Total,14.71626187,4.295078451,1.500220103,1.74656669,4.00017452,3.174222106
2021,Total,3.334621971,0.777818313,0,0.108903859,0.69253914,1.755360658
2021,Total,10.70123563,2.547907787,1.638164888,1.183687875,2.616917188,2.714557895
2021,Total,12.79606771,3.051265283,2.104007202,1.489322477,3.164149478,2.98732327
2020,Total,2.799932114,0.481614177,0.123255575,0,0.735302416,1.459759947
2020,Total,11.88426461,3.353877566,2.065053868,1.297173019,2.418924151,2.749236006
2020,Total,14.36442537,4.138049099,2.595194296,1.651320957,2.878578457,3.101282558
2019,Total,4.533244771,1.750036604,0.482285666,0,0.727562272,1.573360228
2019,Total,11.23414715,3.097447326,1.580448628,1.959274772,2.408774071,2.188202352
2019,Total,12.97820762,3.448141254,1.866270225,2.469220073,2.846347234,2.348228835
2018,Total,4.2063066,1.069920313,0.415708533,0.07247383,1.012364101,1.635839823
2018,Total,11.29326383,3.023784299,1.586834686,2.096048271,2.201448459,2.385148112
2018,Total,13.12036976,3.527514794,1.88876561,2.617750992,2.508009231,2.578329131
