Date,sex,neet_percent,ilo_unemployed_less_6months_percent,ilo_unemployed_more_6months_percent,inactive_look_after_fam_home_percent,inactive_longterm_temp_sick_percent,inactive_other_percent
2025,Total,13.3371555827521,3.74761310033752,2.20932623727748,1.16280106514934,2.97673398124972,3.24068119873807
2025,Male,13.9663691744517,4.4296235956963,2.96544510372023,0.199263791566001,3.22040311745662,3.15163356601251
2025,Female,12.669967440324,3.02444163437173,1.40757378213066,2.18449012622953,2.71835882772857,3.33510306986346
2024,Total,13.60140767,3.880931108,1.629184688,1.493780883,3.389647999,3.207862991
2024,Male,14.53028913,4.319264869,2.440234956,0.433590471,3.871241097,3.465957733
2024,Female,12.63158973,3.423279657,0.782390841,2.600694661,2.88683074,2.938393826
2023,Total,12.09596582,3.165175613,1.270065229,1.666705631,3.274921839,2.719097511
2023,Male,12.32648897,3.627180288,1.603395893,0.458304094,3.464472111,3.173136579
2023,Female,11.85877154,2.689800925,0.927088266,2.910077257,3.079886147,2.251918948
2022,Total,12.48882016,3.666973566,1.240296901,1.414028019,3.160429587,3.007092091
2022,Male,12.86268654,4.077191483,1.536845809,0.250387221,3.382608339,3.615653689
2022,Female,12.0981749,3.238345326,0.930439064,2.629892285,2.928279591,2.371218631
2021,Total,10.70123563,2.547907787,1.638164888,1.183687875,2.616917188,2.714557895
2021,Male,12.04469529,3.06862973,2.167555198,0.329069469,3.137499076,3.341941815
2021,Female,9.333239832,2.017675689,1.099106109,2.053914521,2.086827703,2.07571581
2020,Total,11.88426461,3.353877566,2.065053868,1.297173019,2.418924151,2.749236006
2020,Male,13.70124941,4.245801932,3.033045705,0.232827724,2.983290679,3.206283369
2020,Female,10.04099705,2.449051478,1.083059989,2.376914113,1.846394038,2.285577437
2019,Total,11.23414715,3.097447326,1.580448628,1.959274772,2.408774071,2.188202352
2019,Male,11.27976201,4.072635591,2.300956005,0.290164136,2.183261527,2.432744756
2019,Female,11.18870803,2.126016264,0.862717221,3.621954661,2.633417761,1.944602119
2018,Total,11.29326383,3.023784299,1.586834686,2.096048271,2.201448459,2.385148112
2018,Male,10.70995946,3.469119007,2.184451727,0.30084713,2.116695075,2.638846522
2018,Female,11.90004161,2.560528371,0.96516826,3.963492139,2.289612499,2.121240336
2017,Total,11.0457124,3.122373203,1.54591821,1.88101838,2.385787823,2.110614788
