date,sex,neet_percent
Oct-Dec 2025,Female,14.70157521
Oct-Dec 2025,Male,15.7
Oct-Dec 2025,Total,15.22880886
Jul-Sep 2025,Female,14.09869564
Jul-Sep 2025,Male,16.1
Jul-Sep 2025,Total,15.10626971
Apr-Jun 2025,Female,14.86353161
Apr-Jun 2025,Male,15.2
Apr-Jun 2025,Total,15.04716963
Jan-Mar 2025,Female,13.98340423
Jan-Mar 2025,Male,15.6
Jan-Mar 2025,Total,14.79239226
Oct-Dec 2024,Female,14.40240086
Oct-Dec 2024,Male,16.6
Oct-Dec 2024,Total,15.54309095
Jul-Sep 2024,Female,13.59123621
Jul-Sep 2024,Male,17.2
Jul-Sep 2024,Total,15.4313427
Apr-Jun 2024,Female,13.72547637
Apr-Jun 2024,Male,16.1
Apr-Jun 2024,Total,14.9281895
Jan-Mar 2024,Female,13.40397038
Jan-Mar 2024,Male,16.9
Jan-Mar 2024,Total,15.17174589
Oct-Dec 2023,Female,12.81556
Oct-Dec 2023,Male,15.6
Oct-Dec 2023,Total,14.23704131
Jul-Sep 2023,Female,13.69634965
Jul-Sep 2023,Male,14.7
Jul-Sep 2023,Total,14.20603171
Apr-Jun 2023,Female,13.25839359
Apr-Jun 2023,Male,14.2
Apr-Jun 2023,Total,13.75876218
Jan-Mar 2023,Female,13.70915643
Jan-Mar 2023,Male,13.7
Jan-Mar 2023,Total,13.71898099
Oct-Dec 2022,Female,13.51548124
Oct-Dec 2022,Male,14
Oct-Dec 2022,Total,13.77358506
Jul-Sep 2022,Female,12.20943497
Jul-Sep 2022,Male,12.8
Jul-Sep 2022,Total,12.5311931
Apr-Jun 2022,Female,12.25668179
Apr-Jun 2022,Male,12.8
Apr-Jun 2022,Total,12.53928263
Jan-Mar 2022,Female,11.5699366
Jan-Mar 2022,Male,13.1
Jan-Mar 2022,Total,12.32694401
Oct-Dec 2021,Female,10.68611345
Oct-Dec 2021,Male,13.5
Oct-Dec 2021,Total,12.09858623
Jul-Sep 2021,Female,11.95731781
Jul-Sep 2021,Male,12.7
Jul-Sep 2021,Total,12.33876041
Apr-Jun 2021,Female,10.86792846
Apr-Jun 2021,Male,11.7
