"date","quater","sex","neet_percent","location"
Oct-Dec 2025,Q4,Female,14.7,UK
Oct-Dec 2025,Q4,Male,15.7,UK
Jul-Sep 2025,Q3,Female,14.1,UK
Jul-Sep 2025,Q3,Male,16.1,UK
Apr-Jun 2025,Q2,Female,14.86,UK
Apr-Jun 2025,Q2,Male,15.2,UK
Jan-Mar 2025,Q1,Female,13.98,UK
Jan-Mar 2025,Q1,Male,15.6,UK
Oct-Dec 2024,Q4,Female,14.4,UK
Oct-Dec 2024,Q4,Male,16.6,UK
Jul-Sep 2024,Q3,Female,13.59,UK
Jul-Sep 2024,Q3,Male,17.2,UK
Apr-Jun 2024,Q2,Female,13.73,UK
Apr-Jun 2024,Q2,Male,16.1,UK
Jan-Mar 2024,Q1,Female,13.4,UK
Jan-Mar 2024,Q1,Male,16.9,UK
Oct-Dec 2023,Q4,Female,12.82,UK
Oct-Dec 2023,Q4,Male,15.6,UK
Jul-Sep 2023,Q3,Female,13.7,UK
Jul-Sep 2023,Q3,Male,14.7,UK
Apr-Jun 2023,Q2,Female,13.26,UK
Apr-Jun 2023,Q2,Male,14.2,UK
Jan-Mar 2023,Q1,Female,13.71,UK
Jan-Mar 2023,Q1,Male,13.7,UK
Oct-Dec 2022,Q4,Female,13.52,UK
Oct-Dec 2022,Q4,Male,14.0,UK
Jul-Sep 2022,Q3,Female,12.21,UK
Jul-Sep 2022,Q3,Male,12.8,UK
Apr-Jun 2022,Q2,Female,12.26,UK
Apr-Jun 2022,Q2,Male,12.8,UK
Jan-Mar 2022,Q1,Female,11.57,UK
Jan-Mar 2022,Q1,Male,13.1,UK
Oct-Dec 2021,Q4,Female,10.69,UK
Oct-Dec 2021,Q4,Male,13.5,UK
Jul-Sep 2021,Q3,Female,11.96,UK
Jul-Sep 2021,Q3,Male,12.7,UK
Apr-Jun 2021,Q2,Female,10.87,UK
Apr-Jun 2021,Q2,Male,11.7,UK
Jan-Mar 2021,Q1,Female,11.28,UK
Jan-Mar 2021,Q1,Male,14.2,UK
Oct-Dec 2020,Q4,Female,12.18,UK
Oct-Dec 2020,Q4,Male,15.7,UK
Jul-Sep 2020,Q3,Female,12.22,UK
Jul-Sep 2020,Q3,Male,14.4,UK
Apr-Jun 2020,Q2,Female,13.76,UK
Apr-Jun 2020,Q2,Male,13.7,UK
Jan-Mar 2020,Q1,Female,13.39,UK
Jan-Mar 2020,Q1,Male,13.2,UK
Oct-Dec 2019,Q4,Female,12.73,UK
Oct-Dec 2019,Q4,Male,12.1,UK
Jul-Sep 2019,Q3,Female,12.85,UK
Jul-Sep 2019,Q3,Male,13.5,UK
Apr-Jun 2019,Q2,Female,13.35,UK
Apr-Jun 2019,Q2,Male,13.5,UK
Jan-Mar 2019,Q1,Female,13.65,UK
Jan-Mar 2019,Q1,Male,12.4,UK
Oct-Dec 2018,Q4,Female,13.97,UK
Oct-Dec 2018,Q4,Male,12.0,UK
Jul-Sep 2018,Q3,Female,14.03,UK
Jul-Sep 2018,Q3,Male,11.4,UK
Apr-Jun 2018,Q2,Female,13.41,UK
Apr-Jun 2018,Q2,Male,12.4,UK
Jan-Mar 2018,Q1,Female,13.64,UK
Jan-Mar 2018,Q1,Male,12.6,UK
Oct-Dec 2017,Q4,Female,12.85,UK
Oct-Dec 2017,Q4,Male,13.1,UK
Jul-Sep 2017,Q3,Female,12.52,UK
Jul-Sep 2017,Q3,Male,13.3,UK
Apr-Jun 2017,Q2,Female,13.5,UK
Apr-Jun 2017,Q2,Male,12.1,UK
Jan-Mar 2017,Q1,Female,13.34,UK
Jan-Mar 2017,Q1,Male,12.5,UK
Oct-Dec 2016,Q4,Female,13.53,UK
Oct-Dec 2016,Q4,Male,13.2,UK
Jul-Sep 2016,Q3,Female,14.3,UK
Jul-Sep 2016,Q3,Male,13.7,UK
Apr-Jun 2016,Q2,Female,14.34,UK
Apr-Jun 2016,Q2,Male,12.9,UK
Jan-Mar 2016,Q1,Female,15.37,UK
Jan-Mar 2016,Q1,Male,12.7,UK
Oct-Dec 2015,Q4,Female,15.68,UK
Oct-Dec 2015,Q4,Male,12.5,UK
Jul-Sep 2015,Q3,Female,15.4,UK
Jul-Sep 2015,Q3,Male,12.5,UK
Apr-Jun 2015,Q2,Female,16.73,UK
Apr-Jun 2015,Q2,Male,13.5,UK
Jan-Mar 2015,Q1,Female,17.27,UK
Jan-Mar 2015,Q1,Male,13.3,UK
Oct-Dec 2014,Q4,Female,18.15,UK
Oct-Dec 2014,Q4,Male,13.3,UK
Jul-Sep 2014,Q3,Female,17.25,UK
Jul-Sep 2014,Q3,Male,14.3,UK
Apr-Jun 2014,Q2,Female,16.84,UK
Apr-Jun 2014,Q2,Male,14.5,UK
Jan-Mar 2014,Q1,Female,17.3,UK
Jan-Mar 2014,Q1,Male,14.6,UK
Oct-Dec 2013,Q4,Female,17.75,UK
Oct-Dec 2013,Q4,Male,15.8,UK
Jul-Sep 2013,Q3,Female,19.09,UK
Jul-Sep 2013,Q3,Male,16.5,UK
Apr-Jun 2013,Q2,Female,19.25,UK
Apr-Jun 2013,Q2,Male,15.9,UK
Jan-Mar 2013,Q1,Female,19.55,UK
Jan-Mar 2013,Q1,Male,15.6,UK
Oct-Dec 2012,Q4,Female,19.11,UK
Oct-Dec 2012,Q4,Male,15.8,UK
Jul-Sep 2012,Q3,Female,19.32,UK
Jul-Sep 2012,Q3,Male,16.0,UK
Apr-Jun 2012,Q2,Female,20.21,UK
Apr-Jun 2012,Q2,Male,17.4,UK
Jan-Mar 2012,Q1,Female,20.05,UK
Jan-Mar 2012,Q1,Male,17.6,UK
